Team,Conf,MedW,MedL,Tourn%,A%,C%,ALWYNI%,F-C%,SF-C%,QF-C%,Top4%,Top8%,Top16%,Med-NPI,Min,Max,Rank
Bridgewater (VA),ODAC,21.0,5.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,57.1,57.0,57.2,145
Geneseo St.,E8,22.0,6.0,60.0%,60.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,57.0,55.6,57.1,49
John Carroll,OAC,19.0,7.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,57.0,56.9,57.1,232
Immaculata,AEC,22.0,3.0,90.0%,90.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,56.9,55.9,57.0,39
J&W RI,GNAC,23.0,3.0,30.0%,30.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,56.9,56.8,58.2,73
Emory,UAA,15.0,10.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,56.9,56.8,57.7,197
Millsaps,SAA,23.0,4.0,80.0%,80.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,56.7,55.6,56.8,44
Colby,NESCAC,14.0,11.0,0.0%,0.0%,0.0%,0.0%,-,0.0%,-,0.0%,0.0%,0.0%,56.7,56.6,56.8,167
Roger Williams,CNE,19.0,9.0,30.0%,30.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,56.6,56.1,57.4,75
St. Joseph's ME,GNAC,21.0,6.0,70.0%,70.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,56.6,55.8,56.8,47
DePauw,NCAC,18.5,7.0,20.0%,20.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,56.5,56.1,58.0,83
Babson,NEWMAC,18.0,10.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,56.5,56.1,56.7,134
Carroll,CCIW,18.0,9.0,40.0%,40.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,56.5,56.4,57.6,64
Williams,NESCAC,14.0,11.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,56.4,56.2,56.5,408
