Origin_School,Destination_School,Distance
TX Lutheran,Mt. St. Mary,1834
Mt. St. Mary,TX Lutheran,1834
Colorado Col,Vassar,1830
Vassar,Colorado Col,1830
Colorado Col,SUNY Cobleskill,1824
SUNY Cobleskill,Colorado Col,1824
Merchant Marine,TX Lutheran,1821
TX Lutheran,Merchant Marine,1821
Whitman,Wisconsin Lutheran,1819
Wisconsin Lutheran,Whitman,1819
Colorado Col,Mt. St. Mary,1811
Mt. St. Mary,Colorado Col,1811
Colorado Col,Merchant Marine,1806
Merchant Marine,Colorado Col,1806
Brooklyn Col,TX Lutheran,1801
TX Lutheran,Brooklyn Col,1801
McMurry,Vassar,1794
Vassar,McMurry,1794
Whitman,UW-Whitewater,1794
UW-Whitewater,Whitman,1794
Cortland,TX Lutheran,1793
TX Lutheran,Cortland,1793
Stevens,TX Lutheran,1791
Bowdoin,East Texas Baptist,1791
NYU,TX Lutheran,1791
East Texas Baptist,Bowdoin,1791
TX Lutheran,NYU,1791
TX Lutheran,Stevens,1791
McMurry,SUNY Cobleskill,1789
Bates,East Texas Baptist,1789
East Texas Baptist,Bates,1789
SUNY Cobleskill,McMurry,1789
Brooklyn Col,Colorado Col,1787
Colorado Col,Brooklyn Col,1787
Montclair St.,TX Lutheran,1784
TX Lutheran,Montclair St.,1784
Stevens,Colorado Col,1777
Colorado Col,NYU,1777
Colorado Col,Stevens,1777
NYU,Colorado Col,1777
McMurry,Mt. St. Mary,1774
Mt. St. Mary,McMurry,1774
UW-Oshkosh,Whitman,1772
Montclair St.,Colorado Col,1771
Colorado Col,Montclair St.,1771
Whitman,UW-Oshkosh,1770
McMurry,Merchant Marine,1758
Merchant Marine,McMurry,1758
Ripon,Whitman,1750
Whitman,Ripon,1750
Cortland,Colorado Col,1747
Colorado Col,Cortland,1746
MA Dartmouth,East Texas Baptist,1746
East Texas Baptist,MA Dartmouth,1746
Scranton,TX Lutheran,1743
TX Lutheran,Scranton,1743
McMurry,Brooklyn Col,1739
McMurry,NYU,1739
Brooklyn Col,McMurry,1739
NYU,McMurry,1739
Stevens,McMurry,1729
McMurry,Stevens,1729
Montclair St.,McMurry,1724
McMurry,Montclair St.,1724
Christopher Newport,Colorado Col,1722
Colorado Col,Christopher Newport,1722
Colorado Col,Scranton,1716
Scranton,Colorado Col,1716
McMurry,Cortland,1711
Cortland,McMurry,1711
Whitman,UW-Stevens Point,1694
UW-Stevens Point,Whitman,1694
McMurry,Scranton,1683
Scranton,McMurry,1683
East Texas Baptist,Endicott,1683
Endicott,East Texas Baptist,1683
TX Lutheran,Brockport St.,1676
Brockport St.,TX Lutheran,1675
McMurry,Whitman,1672
Whitman,McMurry,1672
Bridgewater MA,East Texas Baptist,1668
Tufts,East Texas Baptist,1668
East Texas Baptist,Bridgewater MA,1668
East Texas Baptist,Tufts,1668
Geneseo St.,TX Lutheran,1666
TX Lutheran,Geneseo St.,1666
Colorado Col,Randolph-Macon,1661
Randolph-Macon,Colorado Col,1661
UW-La Crosse,Whitman,1651
Whitman,UW-La Crosse,1651
Gallaudet,Colorado Col,1647
Colorado Col,Gallaudet,1647
Colorado Col,Johns Hopkins,1645
Elizabethtown,TX Lutheran,1645
Johns Hopkins,Colorado Col,1645
TX Lutheran,Elizabethtown,1645
Catholic,Colorado Col,1641
Colorado Col,Catholic,1641
Wartburg,Whitman,1638
Whitman,Wartburg,1638
Cal Lutheran,East Texas Baptist,1637
East Texas Baptist,Cal Lutheran,1637
Immaculata,TX Lutheran,1634
TX Lutheran,Immaculata,1634
Brockport St.,Colorado Col,1629
Colorado Col,Brockport St.,1629
Colorado Col,Elizabethtown,1629
Elizabethtown,Colorado Col,1629
Colorado Col,Geneseo St.,1621
Geneseo St.,Colorado Col,1621
Amherst,East Texas Baptist,1618
East Texas Baptist,Amherst,1618
Messiah,TX Lutheran,1613
TX Lutheran,Messiah,1613
Johns Hopkins,TX Lutheran,1610
TX Lutheran,Johns Hopkins,1610
Colorado Col,Messiah,1608
Messiah,Colorado Col,1608
Smith,East Texas Baptist,1605
East Texas Baptist,Smith,1605
Gettysburg,TX Lutheran,1596
TX Lutheran,Gettysburg,1596
McMurry,Brockport St.,1595
Brockport St.,McMurry,1595
Colorado Col,Gettysburg,1593
Gettysburg,Colorado Col,1593
East Texas Baptist,W New England,1592
W New England,East Texas Baptist,1590
Colorado Col,Immaculata,1587
Immaculata,Colorado Col,1587
McMurry,Geneseo St.,1586
Geneseo St.,McMurry,1586
McMurry,Elizabethtown,1585
Elizabethtown,McMurry,1585
Catholic,TX Lutheran,1583
TX Lutheran,Catholic,1583
Gallaudet,TX Lutheran,1581
TX Lutheran,Gallaudet,1581
St. Joseph CT,East Texas Baptist,1574
East Texas Baptist,St. Joseph CT,1574
Bowdoin,UW-Superior,1571
UW-Superior,Bowdoin,1571
Trinity (Conn),East Texas Baptist,1569
East Texas Baptist,Trinity (Conn),1569
Whitman,UW-Stout,1558
UW-Stout,Whitman,1558
McMurry,Messiah,1554
Messiah,McMurry,1554
McMurry,Immaculata,1552
Bates,Gustavus Adolphus,1552
Gustavus Adolphus,Bates,1552
Immaculata,McMurry,1552
McMurry,Johns Hopkins,1550
Johns Hopkins,McMurry,1550
Bowdoin,Gustavus Adolphus,1548
Christopher Newport,TX Lutheran,1548
Gustavus Adolphus,Bowdoin,1548
TX Lutheran,Christopher Newport,1548
McMurry,Gettysburg,1536
Gettysburg,McMurry,1536
S Virginia,Colorado Col,1529
McMurry,Christopher Newport,1527
Christopher Newport,McMurry,1527
Colorado Col,S Virginia,1527
Bates,Bethel,1524
Bethel,Bates,1524
McMurry,Gallaudet,1522
Gustavus Adolphus,Whitman,1521
Whitman,Gustavus Adolphus,1521
Bethel,Bowdoin,1520
Colorado Col,Washington & Lee,1520
Washington & Lee,Colorado Col,1520
East Texas Baptist,SUNY Cobleskill,1519
SUNY Cobleskill,East Texas Baptist,1519
McMurry,Catholic,1518
Catholic,McMurry,1518
