Main Team,Opponent
East Texas Baptist,Millsaps
Bridgewater MA,Smith
St. Norbert,Ripon
Ripon,St. Norbert
UW-Stout,Bethel
Smith,Roger Williams
Roger Williams,Smith
Bethel,UW-Stout
WashU,Bridgewater MA
Washington & Lee,Transylvania
Vassar,Catholic
Trine,Ripon
Transylvania,Washington & Lee
Ripon,Trine
Catholic,Vassar
Carnegie Mellon,Baldwin Wallace
Bridgewater MA,WashU
Baldwin Wallace,Carnegie Mellon
Vassar,Johns Hopkins
UW-Oshkosh,Trine
Trine,UW-Oshkosh
Scranton,Bethel
Messiah,Catholic
Johns Hopkins,Vassar
Catholic,Messiah
Bethel,Scranton
Illinois Wesleyan,East Texas Baptist
East Texas Baptist,Illinois Wesleyan
Bethel,Amherst
Amherst,Bethel
UW-Oshkosh,Northwestern MN
Northwestern MN,UW-Oshkosh
TCNJ,Cal Lutheran
Cal Lutheran,TCNJ
Rhode Island College,Ohio Wesleyan
Ohio Wesleyan,Rhode Island College
Wartburg,East Texas Baptist
Rhode Island College,Randolph-Macon
Randolph-Macon,Rhode Island College
East Texas Baptist,Wartburg
McMurry,East Texas Baptist
East Texas Baptist,McMurry
UW-Stevens Point,St. Norbert
St. Norbert,UW-Stevens Point
St. Joseph's ME,ME Maritime
Northwestern MN,Gustavus Adolphus
ME Maritime,St. Joseph's ME
Gustavus Adolphus,Northwestern MN
Tufts,NYU
NYU,Tufts
MA Dartmouth,Bridgewater MA
Bridgewater MA,MA Dartmouth
Bowdoin,Bates
Bates,Bowdoin
S Virginia,Christopher Newport
Messiah,Gettysburg
Gettysburg,Messiah
Christopher Newport,S Virginia
WashU,Illinois Wesleyan
Tufts,Rhode Island College
Trinity (Conn),Smith
Smith,Trinity (Conn)
Rhode Island College,Tufts
Illinois Wesleyan,WashU
Whitman,Cal Lutheran
Cal Lutheran,Whitman
UW-Whitewater,Illinois Wesleyan
UW-La Crosse,Hope
Tufts,Scranton
Scranton,Tufts
Roger Williams,MA Dartmouth
Rhode Island College,Bridgewater MA
MA Dartmouth,Roger Williams
Lebanon Val,Elizabethtown
Illinois Wesleyan,UW-Whitewater
Hope,UW-La Crosse
Elizabethtown,Lebanon Val
Bridgewater MA,Rhode Island College
Belhaven MS,East Texas Baptist
Gustavus Adolphus,Colorado Col
Colorado Col,Gustavus Adolphus
Tufts,Roger Williams
Roger Williams,Tufts
Randolph-Macon,Johns Hopkins
Johns Hopkins,Randolph-Macon
McMurry,Hardin-Simmons
Hardin-Simmons,McMurry
Trine,Baldwin Wallace
Smith,MA Dartmouth
MA Dartmouth,Smith
Elizabethtown,Catholic
Catholic,Elizabethtown
Baldwin Wallace,Trine
Vassar,Trinity (Conn)
Trinity (Conn),Vassar
Belhaven MS,Millsaps
NYU,Merchant Marine
Merchant Marine,NYU
Johns Hopkins,Christopher Newport
Christopher Newport,Johns Hopkins
Whitman,East Texas Baptist
St. Joseph's ME,Bates
Randolph-Macon,Gettysburg
Penn State-Behrend,Chatham
Illinois Wesleyan,Hope
Hope,Illinois Wesleyan
Gettysburg,Randolph-Macon
East Texas Baptist,Whitman
Chatham,Penn State-Behrend
Bates,St. Joseph's ME
UW-La Crosse,Bethel
Geneseo St.,Amherst
Bethel,UW-La Crosse
Amherst,Geneseo St.
UW-Stout,Gustavus Adolphus
Gustavus Adolphus,UW-Stout
W New England,Rhode Island College
Rhode Island College,W New England
Whitman,Geneseo St.
Washington & Lee,S Virginia
Scranton,Cortland
S Virginia,Washington & Lee
Geneseo St.,Whitman
Cortland,Scranton
ME Maritime,MA Dartmouth
MA Dartmouth,ME Maritime
UW-La Crosse,Gustavus Adolphus
Penn State-Behrend,Carnegie Mellon
Ohio Wesleyan,Elizabethtown
Gustavus Adolphus,UW-La Crosse
Elizabethtown,Ohio Wesleyan
Carnegie Mellon,Penn State-Behrend
TX Lutheran,Hardin-Simmons
Hardin-Simmons,TX Lutheran
