Massey_id,Massey_Name,Scott_Name
82, Concordia_IL,Concordia IL
83, Concordia_Mhd,Concordia Moorhead
84, Concordia_TX,Concordia TX
85, Concordia_WI,Concordia WI
86, Cornell_IA,Cornell IA
87, Cortland_St,Cortland
88, Covenant,Covenant
89, Crown_MN,Crown MN
90, CT_College,CT College
91, Curry,Curry
92, Dallas_Univ,Dallas Univ
93, Dean,Dean
94, Delaware_Val,Delaware Val
95, Denison,Denison
96, DePauw,DePauw
97, DeSales,DeSales
98, Dickinson,Dickinson
99, Dominican_IL,Dominican IL
100, Drew,Drew
101, Dubuque,Dubuque
102, E_Connecticut,Eastern Connecticut
103, E_Mennonite,E Mennonite
104, E_Nazarene,E Nazarene
105, E_Texas_Bap,East Texas Baptist
106, Earlham,Earlham
107, Eastern_Univ,Eastern Univ
108, Edgewood,Edgewood
109, Elizabethtown,Elizabethtown
110, Elmhurst,Elmhurst
111, Elmira,Elmira
112, Elms,Elms
113, Emerson,Emerson
114, Emmanuel_MA,Emmanuel
115, Emory,Emory
116, Endicott,Endicott
117, Eureka,Eureka
118, Farmingdale,Farmingdale
119, FDU_Madison,FDU Madison
120, Ferrum,Ferrum
121, Fitchburg_St,Fitchburg St.
122, Fontbonne,Fontbonne
123, Framingham_St,Framingham St.
124, Franciscan_OH,Franciscan OH
125, Frank_&_Marsh,Frank & Marsh
126, Franklin,Franklin
127, Gallaudet,Gallaudet
128, Geneseo_St,Geneseo St.
129, Geneva,Geneva
130, George_Fox,George Fox
131, Gettysburg,Gettysburg
132, Gordon,Gordon
133, Goucher,Goucher
134, Greensboro,Greensboro
135, Greenville,Greenville
136, Grinnell,Grinnell
137, Grove_City,Grove City
138, Guilford,Guilford
139, Gust_Adolphus,Gustavus Adolphus
140, Gwynedd-Mercy,Gwynedd-Mercy
141, Hamilton,Hamilton
142, Hamline,Hamline
143, Hanover,Hanover
144, Hardin-Simmons,Hardin-Simmons
145, Hartford,Hartford
146, Hartwick,Hartwick
147, Haverford,Haverford
148, Heidelberg,Heidelberg
149, Hendrix,Hendrix
150, Hilbert,Hilbert
151, Hiram,Hiram
152, Hobart_&_Smith,Hobart & Smith
153, Hollins,Hollins
154, Hood,Hood
155, Hope,Hope
156, Houghton,Houghton
157, Howard_Payne,Howard Payne
158, Hunter,Hunter
159, Huntingdon,Huntingdon
160, Husson,Husson
161, IL_Tech,IL Tech
162, IL_Wesleyan,Illinois Wesleyan
163, Illinois_Col,Illinois Col
164, Immaculata,Immaculata
165, Ithaca,Ithaca
166, J&W_RI,J&W RI
167, John_Carroll,John Carroll
168, John_Jay,John Jay
169, Johns_Hopkins,Johns Hopkins
170, Juniata,Juniata
171, Kalamazoo,Kalamazoo
172, Kean,Kean
173, Keene_St,Keene St.
