simulation_number,team_name,wins,losses,npi_rank,got_auto_bid,got_at_large,made_tournament,made_top_4,made_top_8,made_top_16
6,Spalding,10,16,45.62864968593799,False,False,False,False,False,False
6,Springfield,17,11,56.276024002742716,False,False,False,False,False,False
6,St. Benedict,17,10,54.748570512655995,False,False,False,False,False,False
6,St. Catherine,13,12,52.23765360225175,False,False,False,False,False,False
6,St. Elizabeth,13,12,47.01473534282433,False,False,False,False,False,False
6,St. John Fisher,19,8,55.24367229919699,False,False,False,False,False,False
6,St. Joseph CT,17,9,53.47854024065691,False,False,False,False,False,False
6,St. Joseph's LI,17,10,50.735738174230725,False,False,False,False,False,False
6,St. Joseph's ME,20,7,55.751371919076654,False,False,False,False,False,False
6,St. Joseph's NY,9,16,44.4918190374892,False,False,False,False,False,False
6,St. Lawrence,16,10,52.62121431436165,False,False,False,False,False,False
6,St. Mary's IN,6,18,45.16161804237407,False,False,False,False,False,False
6,St. Mary's MD,21,7,51.74902543925694,True,False,True,False,False,False
6,St. Mary's MN,13,12,51.86607383114603,False,False,False,False,False,False
6,St. Norbert,22,5,57.14210647627311,False,False,False,False,False,False
6,St. Olaf,7,18,46.08365661763013,False,False,False,False,False,False
6,St. Scholastica,12,13,50.60552318186654,False,False,False,False,False,False
6,St. Thomas TX,14,8,52.966552682472795,False,False,False,False,False,False
6,St. Vincent,13,13,48.542727565977515,False,False,False,False,False,False
6,Stevens,17,9,52.806859185014055,False,False,False,False,False,False
6,Stevenson,9,16,48.15260851348096,False,False,False,False,False,False
6,Suffolk,13,13,51.258776305461005,False,False,False,False,False,False
6,SUNY Canton,16,11,51.59733152067388,False,False,False,False,False,False
6,SUNY Cobleskill,23,5,54.63116061868244,False,False,False,False,False,False
6,SUNY Delhi,0,22,28.126350749768456,False,False,False,False,False,False
6,SUNY Fredonia,8,15,46.411046443203496,False,False,False,False,False,False
6,SUNY New Paltz,18,9,54.34141590448048,True,False,True,False,False,False
6,SUNY Oneonta,11,15,48.882247938025856,False,False,False,False,False,False
6,SUNY Potsdam,9,15,47.05531479026334,False,False,False,False,False,False
6,SUNYIT,6,19,44.2597457930348,False,False,False,False,False,False
6,Susquehanna,15,11,52.432960719206335,False,False,False,False,False,False
6,SW Univ TX,7,17,46.455064408805114,False,False,False,False,False,False
6,Swarthmore,8,16,48.24268434962171,False,False,False,False,False,False
6,Thiel,0,24,29.72953054921843,False,False,False,False,False,False
6,Thomas ME,7,16,43.713240679322425,False,False,False,False,False,False
6,Transylvania,22,5,58.17045075771915,True,False,True,False,False,False
6,Trine,25,2,63.003680423921026,True,False,True,False,False,True
6,Trinity (Conn),18,8,59.11400891825744,False,True,True,False,False,False
6,Trinity DC,0,10,26.76283632192039,False,False,False,False,False,False
6,Trinity (Texas),15,12,54.021001728692184,False,False,False,False,False,False
6,Tufts,15,10,58.94131597276728,False,True,True,False,False,False
6,TX Lutheran,20,5,57.39580136118044,False,False,False,False,False,False
6,U New England,15,12,52.941268827678584,False,False,False,False,False,False
6,UC Santa Cruz,5,13,47.37520135886835,False,False,False,False,False,False
6,Union NY,13,12,50.48579175023786,False,False,False,False,False,False
6,Univ Ozarks,13,12,49.87221293559002,False,False,False,False,False,False
6,Ursinus,15,10,53.24530983169354,False,False,False,False,False,False
6,Utica,4,21,41.72456858329885,False,False,False,False,False,False
6,VA Wesleyan,4,19,42.73342266278496,False,False,False,False,False,False
6,Valley Forge,3,18,37.91492615688004,False,False,False,False,False,False
6,Vassar,19,7,56.00066763816315,False,False,False,False,False,False
6,Western Connecticut,5,20,43.6387593338789,False,False,False,False,False,False
6,W New England,23,3,60.14563287025937,False,True,True,False,False,False
6,Warren Wilson,2,14,40.21372272332827,False,False,False,False,False,False
6,Wartburg,25,2,61.35420157152287,True,False,True,False,False,False
6,Washington & Jefferson,22,4,57.8780334635639,True,False,True,False,False,False
6,Washington & Lee,25,3,61.4267318977713,True,False,True,False,False,True
6,Washington MD,18,10,54.90146775248972,False,False,False,False,False,False
6,WashU,16,9,57.24856636263763,False,False,False,False,False,False
6,Waynesburg,13,11,47.70680792066266,False,False,False,False,False,False
6,Webster,23,3,56.993597268259606,False,False,False,False,False,False
6,Wellesley,8,16,46.10337357814983,False,False,False,False,False,False
6,Wentworth Tech,2,23,39.518888481220365,False,False,False,False,False,False
6,Wesleyan CT,8,16,51.081335489280875,False,False,False,False,False,False
6,Wesleyan GA,0,18,30.837015413232447,False,False,False,False,False,False
6,Westfield St.,16,10,52.165914670360785,False,False,False,False,False,False
6,Westminster MO,21,5,54.984466992928084,True,False,True,False,False,False
6,Westminster PA,4,21,40.292722669464695,False,False,False,False,False,False
6,Wheaton (IL),15,12,54.33199307683591,False,False,False,False,False,False
6,Wheaton MA,7,18,47.6953876750731,False,False,False,False,False,False
6,Whitman,26,0,65.18568619697164,True,False,True,False,True,True
6,Whittier,19,4,57.03934405888228,True,False,True,False,False,False
6,Whitworth,7,17,47.272674843166165,False,False,False,False,False,False
6,UW-Eau Claire,8,17,51.81515317756116,False,False,False,False,False,False
6,UW-La Crosse,16,11,57.97912603195155,False,False,False,False,False,False
6,Wisconsin Lutheran,21,7,56.51700701937901,True,False,True,False,False,False
6,UW-Oshkosh,24,3,65.01109036318765,True,False,True,False,True,True
6,UW-Platteville,8,17,51.56699574182183,False,False,False,False,False,False
6,UW-River Falls,14,12,55.704205628510564,False,False,False,False,False,False
6,UW-Stevens Point,18,8,57.99465905345578,False,True,True,False,False,False
6,UW-Stout,19,7,60.7129982890548,False,True,True,False,False,False
6,UW-Superior,16,10,49.8004023433747,False,False,False,False,False,False
6,UW-Whitewater,21,7,60.76179962137601,False,True,True,False,False,False
6,Widener,17,9,54.86983737973005,False,False,False,False,False,False
6,Wilkes,0,25,33.523549614649326,False,False,False,False,False,False
6,Willamette,8,16,48.8434878145461,False,False,False,False,False,False
6,Williams,14,11,56.37627209009841,False,False,False,False,False,False
6,Wilmington OH,7,18,47.771386044805816,False,False,False,False,False,False
6,Wilson,8,16,42.92170857441075,False,False,False,False,False,False
6,Wittenberg,17,10,53.30495630477043,False,False,False,False,False,False
6,Wm Paterson,21,7,55.0626567164592,True,False,True,False,False,False
6,Wooster,5,18,42.38543813654068,False,False,False,False,False,False
6,Worcester St,9,17,47.45894786203849,False,False,False,False,False,False
6,WPI,12,14,51.48406181334429,False,False,False,False,False,False
6,Yeshiva,4,19,40.39804614678386,False,False,False,False,False,False
6,York NY,3,17,37.69157387250746,False,False,False,False,False,False
6,York PA,16,10,53.026910704299674,False,False,False,False,False,False
7,Adrian,7,18,46.35275492431832,False,False,False,False,False,False
7,Agnes Scott,3,19,38.46705692903661,False,False,False,False,False,False
7,Albertus Magnus,17,9,53.92110493402645,False,False,False,False,False,False
7,Albion,12,15,49.880440286667636,False,False,False,False,False,False
7,Albright,13,12,50.861354897996826,False,False,False,False,False,False
7,Alfred,13,13,49.176955025280705,False,False,False,False,False,False
7,Alfred St.,6,18,41.02433347885832,False,False,False,False,False,False
7,Allegheny,18,7,53.37490801818879,False,False,False,False,False,False
7,Alma,10,16,48.37459890375103,False,False,False,False,False,False
7,Alvernia,12,12,50.355148624428786,False,False,False,False,False,False
7,Alverno,1,23,34.89459785074262,False,False,False,False,False,False
7,Amherst,20,7,59.93789679256202,False,True,True,False,False,False
7,Anderson IN,14,13,51.38304244558858,False,False,False,False,False,False
7,Anna Maria,14,11,49.78528889546072,False,False,False,False,False,False
7,Arcadia,18,9,53.40357647396354,False,False,False,False,False,False
7,Asbury,18,9,51.72528542511257,False,False,False,False,False,False
7,Augsburg,3,21,43.033065877550534,False,False,False,False,False,False
7,Augustana,10,15,49.92853906959112,False,False,False,False,False,False
7,Aurora,15,8,51.41677268980907,False,False,False,False,False,False
7,Austin Col,9,14,46.71661572553981,False,False,False,False,False,False
7,Averett,3,20,42.86083277060613,False,False,False,False,False,False
7,Babson,18,10,56.5164629230771,False,False,False,False,False,False
7,Baldwin Wallace,26,1,65.30618446790542,True,False,True,True,True,True
7,Bard,1,23,37.25034019208596,False,False,False,False,False,False
7,Baruch,14,11,48.34664795316998,False,False,False,False,False,False
7,Bates,16,8,58.759289262093006,False,True,True,False,False,False
7,Belhaven MS,18,9,51.573515203242614,True,False,True,False,False,False
7,Beloit,3,22,40.311607519227294,False,False,False,False,False,False
7,Benedictine IL,15,12,49.744886247922935,False,False,False,False,False,False
7,Berea,14,12,52.10580248107496,False,False,False,False,False,False
7,Berry,18,8,53.44939345607145,False,False,False,False,False,False
7,Bethany Luth,11,15,46.3787408284863,False,False,False,False,False,False
7,Bethany WV,12,13,47.78039417835881,False,False,False,False,False,False
7,Bethel,22,5,61.42925856168406,False,True,True,False,False,False
7,Blackburn,1,21,32.46789277714877,False,False,False,False,False,False
7,Bluffton,10,15,48.32402042888107,False,False,False,False,False,False
7,Bowdoin,27,0,68.65868279807371,True,False,True,True,True,True
7,Brandeis,12,13,54.73655179101433,False,False,False,False,False,False
7,Brevard,16,6,51.84672982825975,False,False,False,False,False,False
7,Bridgewater MA,17,6,57.52184239003548,False,False,False,False,False,False
7,Bridgewater (VA),21,5,57.1535440535257,False,False,False,False,False,False
7,Brockport St.,24,4,58.35959381886201,False,True,True,False,False,False
7,Brooklyn Col,16,12,48.9327167841536,False,False,False,False,False,False
7,Bryn Athyn,17,7,48.59484414053432,False,False,False,False,False,False
7,Bryn Mawr,6,18,44.393462461278155,False,False,False,False,False,False
7,Buena Vista,7,17,45.73296664824167,False,False,False,False,False,False
